StarID,ProperName,RA,Dec,Mag,ColorIndex
223.0,,0.06232724,42.02349764,7.45,0.244
224.0,,0.06434093,66.71220273,6.31,1.629
225.0,,0.06461062,57.37827711,8.15,0.316
226.0,,0.064653,22.29607151,8.27,0.136
227.0,,0.06480418,-28.3937693,7.66,0.741
228.0,,0.06498266,-57.8303572,8.59,0.616
229.0,,0.06556931,14.37891704,7.09,0.303
230.0,,0.06572723,-45.28859728,8.54,0.23
231.0,,0.06583926,36.97021204,8.44,0.456
232.0,,0.06597319,61.10364174,8.59,0.36
233.0,,0.06607347,-48.12518732,8.01,0.406
234.0,,0.0661151,20.95381941,8.29,0.54
235.0,,0.06673311,12.14583388,7.26,0.355
236.0,,0.06683546,-80.3950701,7.91,0.314
237.0,,0.06772121,62.22195138,8.19,0.26
238.0,,0.06884474,-25.89254967,8.93,0.607
239.0,,0.06901162,56.92100467,7.65,0.992
240.0,,0.0695029,17.43668381,8.53,0.491
241.0,,0.06951519,49.87020726,7.38,1.003
242.0,,0.06957517,39.12012608,8.56,0.615
243.0,,0.06965601,11.26438632,8.76,1.692
244.0,,0.06996871,-30.13491782,7.09,-0.085
245.0,,0.07046214,62.2876646,5.9,0.274
246.0,,0.07072227,-34.41465369,8.41,0.563
247.0,,0.07092391,60.15501928,8.79,0.08
248.0,,0.07106789,14.08162325,8.88,0.253
249.0,,0.07110448,65.1529611,7.59,1.68
250.0,,0.07124759,-59.31518062,8.55,0.037
251.0,,0.07158887,-43.98832631,8.11,0.484
252.0,,0.07215592,-16.52888969,5.78,1.084
253.0,,0.07230497,-29.26883006,6.38,0.006
254.0,,0.07252055,-53.90948292,8.8,1.031
255.0,,0.07257999,54.27460172,7.79,-0.089
256.0,,0.07258669,12.95705512,8.6,0.64
257.0,,0.07302629,-29.38157885,7.77,-0.058
258.0,,0.07328727,-57.32287483,10.37,1.1
259.0,,0.07350819,-47.06812971,9.8,0.855
260.0,,0.07503398,-10.50949443,4.99,1.619
261.0,,0.07504679,-6.96533727,8.43,0.611
262.0,,0.07514627,-72.8972207,7.33,0.444
263.0,,0.07595728,-76.34653399,8.93,1.025
264.0,,0.07652,-71.69499867,8.73,1.036
265.0,,0.07678062,43.55131855,8.12,2.53
266.0,,0.07683119,-31.16905083,8.94,1.181
267.0,,0.07683225,42.09256148,6.11,0.159
268.0,,0.07707171,2.93722463,7.9,1.249
269.0,,0.07729352,-51.58336438,7.13,1.26
270.0,,0.07770637,-70.40421693,7.46,1.072
271.0,,0.07773199,-8.18490648,8.72,1.508
272.0,,0.07780296,34.26519797,7.02,1.1
273.0,,0.07810426,6.52258527,8.37,0.881
274.0,,0.07812589,-71.43685835,5.59,-0.1
275.0,,0.07812793,14.96533616,7.37,0.422
276.0,,0.07828819,67.16638761,5.68,1.051
277.0,,0.07853087,17.06977988,8.56,0.792
278.0,,0.07901243,51.53385066,8.72,-0.014
279.0,,0.07925813,0.05649086,8.82,0.433
280.0,,0.0795241,1.53694172,8.18,0.376
281.0,,0.08054272,38.78622411,8.46,0.556
282.0,,0.08078072,-29.63304603,8.28,0.002
283.0,,0.08079734,43.97079063,8.18,0.43
284.0,,0.081101,30.08593131,7.93,0.478
285.0,,0.08144852,34.65955259,6.09,0.632
286.0,,0.08147751,-30.25661295,8.31,0.036
287.0,,0.08164042,-31.99660262,7.83,1.256
288.0,,0.08168672,52.2489413,8.72,0.082
289.0,,0.08193512,58.53217392,6.61,0.025
290.0,,0.08220199,26.64879958,6.25,1.368
291.0,,0.082244,23.26964739,7.82,0.755
292.0,,0.08228172,56.0569593,8.66,1.614
293.0,,0.08232957,64.78140759,8.15,0.475
294.0,,0.08248028,-18.17850304,8.97,0.674
295.0,,0.08263399,51.18064908,8.15,1.201
296.0,,0.08264115,45.67395209,7.47,0.55
297.0,,0.08292832,26.72525618,8.63,1.57
298.0,,0.08295163,-70.21220744,8.13,0.71
299.0,,0.08300179,57.46874679,8.23,0.986
300.0,,0.08307259,-70.49241628,8.41,0.461
301.0,,0.08364842,27.67479979,6.47,0.946
302.0,,0.0838372,66.5167896,8.64,1.3
303.0,,0.08402276,-36.01527326,7.73,0.537
304.0,,0.08414982,-59.82810463,8.64,0.889
305.0,,0.0842532,9.28002796,8.94,0.415
306.0,,0.0842934,1.03782858,8.84,0.759
307.0,,0.08438794,-0.50290553,6.32,1.099
308.0,,0.08503682,61.31396468,5.8,-0.067
309.0,,0.08524741,-42.56781669,8.97,0.86
310.0,,0.08544451,-52.15142338,7.53,0.577
311.0,,0.0857839,67.84002075,7.41,1.288
312.0,,0.08590585,30.32911509,7.8,0.437
313.0,,0.08603193,-62.84527102,8.14,0.593
314.0,,0.0860502,45.22907883,6.71,0.068
315.0,,0.08609592,-43.85083352,8.73,1.124
316.0,,0.08615511,2.39731072,8.69,0.644
317.0,,0.08615576,45.78693438,9.95,1.472
318.0,,0.08619619,-32.46851165,7.1,1.128
319.0,,0.08679901,36.30368114,8.09,0.496
320.0,,0.08694525,35.57110311,6.88,0.174
321.0,,0.08829689,-67.8312267,8.49,1.076
322.0,,0.08830088,48.47719511,8.3,0.998
323.0,,0.08845774,-1.79412136,7.95,0.991
324.0,,0.08885129,68.8844091,7.08,-0.006
